sweater;clothes
water;juice
bottle;cup
pants;shorts
sunglasses;glasses
sunscreen;lotion
shampoo;soap
passport;id card
headphones;earpods
knife;gun
knife;weapon
gun;weapon
axe;weapon
towel;napkin
credit card;cash
shoes;socks
tablet;iPad
smartphone;iPhone
phone;smartphone
laptop;computer
tablet;computer
macbook;computer
juice;liquid
oreo;biscuit
cash;money
coins;money
knife;axe
chips;food
shampoo;dry shampoo
hand sanitizer;liquid
sweater;pull-over
bobby pin;hairpin
digital watch;watch
flower;plant
dry cell battery;battery
paracetamol;medication
cough syrup;liquid medication
rope;cord
sanitary napkin;feminine pad
sanitary pad;feminine pad
nuts;snack
pencil;pen
tissues;napkin
marker;marker pen
scotch;scotch tape
adhesive tape;tape
scotch;tape
toothpaste;toiletries
toothbrush;toiletries
comb;toiletries
water;liquid
shampoo;liquid
shower gel;liquid
shower gel;soap
pen;pencil
book;magazine
book;paper
magazine;newspaper
water;drink
juice;drink
snack;food
snack;food
crisps;snack
nuts;food
nuts;snack
candy;food
candy;snack
chocolate;food
chocolate;snack
candy bar;food
candy bar;snack
knife;tool
pocket knife;tool
nailclippers;toiletries
nailclippers;tool
tweezers;tolietries
tweezers;tool
earplugs;headphones
contact lens solution;lens solution
pill;medication
syrup;liquid
syrup;medication
shampoo;dry shampoo
vitamin supplements;food supplements
vitamin supplements;supplements
e-reader;e-book
baby seat;safety seat
child car seat;safety seat
child car seat;infant seat
charger;electronics
oranges;fruit
suncream;cream
suncream;lotion
hand cream;lotion
beverage;drink
alcohol beverage;beverage
outfit;clothes
t-shirt;clothes
shorts;clothes
pants;clothes
trousers;pants
dress;clothes
shoes;slippers
shoes;sneakers
shoes;running shoes
shoes;pumps
shoes;boots
skirt;clothes
lipstick;cosmetics
cream;cosmetics
mascara;make up
lip stain;make up
eyeliner;make up
lipgloss;make-up
lipstick;lip gloss
eye shadow;make up
powder;make up
rouge;powder
foundation;make up
